Nom;Stand;Description courte;Description longue;Contact;Secteur;Logo
EMOFACE;29;Tools for autistic learning via interactive 3D avatars.;Interactive tools designed for autistic individuals.;adela@emoface.fr, emoface.fr;Autism Support;Emoface_logo.PNG
LIFE 01;30;Air quality monitoring and purification.;Purifies air and monitors quality through an innovative app.;t.faure@life-01.com, life-01.com;Smart Building;Life_01_logo.PNG
#DotDot;31;Anonymous P2P trading of unused mobile data.;Accessibility tools for the Deaf and Hard of Hearing.;sami.chikhi@elioz.fr, motionsign.ai;AI, Accessibility;Elioz_logo.png
Theyeq;32;Innovative quality control for manufacturing.;AI-powered recruitment solutions to reduce cost and time.;mathieu.masclez@obo-world.com, obo-world.com;AI, Recruitment;OboWorld_logo.png
ELIOZ;33;AI-driven tools for the hearing impaired.;AI technology for personalized skincare and wellness recommendations.;frederic@gydtech.io, gydtech.io;AI, Beauty Tech;GYDTech_logo.png
OBO WORLD;34;AI recruitment solutions.;Combines hygiene, privacy, and immersive experience for public and industrial sectors.;baptiste.capelle@holoprods.com, holoprods.com;XR, CustomerExperience, Holographic;HOLOPRODS_logo.png
Mimodetect;35;Ground-penetrating radar for buried networks.;Creates a biometric ID card for physical objects via surface scanning.;steredenn@xmbauble.com, xmbauble.com;Cybersecurity, Blockchain, Anticounterfeiting;XmBauble_2023_logo.png
GYD TECH;36;AI-driven beauty diagnostics.;Check-In alarm systems require no Wi-Fi or wiring, adapting to any environment.;sales@artifeel.com, artifeel.com;Smartcity, Security, IoT;Artifeel_logo.png
HOLOPRODS;37;Creates interactive, intuitive holographic kiosks.;Enables people without a technological mindset to stay socially connected.;contact@coucouvisio.fr, coucouvisio.fr;IoT, Telecom, Lowtech;Coucou_visio_logo.png
XMBAUBLE;38;Combats counterfeiting with non-invasive biometric IDs.;Platform for sharing unused GBs of mobile internet through an app and WiFi repeater.;xtof@dotdot.fr, ShareYourGBs.com;Lifestyle, Internet;DotDot_logo.png
ARTIFEEL;39;Develops security products with built-in AI and autonomy.;Multi-imaging measurement system integrating quality improvement across the value chain.;claude.roy@theyeq.com, theyeq.com;AI, Manufacturing;Theyeq_logo.png
COUCOUVISIO;40;Low-tech solution for video calls on landline phones and TVs.;Connected radars automatically recognize gas, water, electricity, and telecom pipes.;jdbigoni@mimodetect.fr, mimodetect.com;Construction, Safety, AI;Mimodetect_logo.png
